Id,Title,Name,URL
AFG,Afghan News Agency,Bakhtar News Agency,http://bakhtarnews.com.af/
AFG, News in Pashto.,Benawa,http://www.benawa.com/
AFG, With Afghanistan news.,Sabawoon Online,http://www.sabawoon.com/
AFG, Todays News of Afghanistan.,"Afghanistan Online
Press",http://www.aopnews.com/
AFG," Afghanistan news (in English, Pashto and Persian (Dari)).",Afghanistan Today,https://www.afghanistan-today.org/
AFG, Online news.,Ariana Afghan Media,http://www.e-arihttp://ariananews.af/ana.com/
AFG, Up-to-date Afghanistan news.,Afgha.com,http://www.afgha.com/
AFG, Arab News Network based in Qatar.,Al Jazeera,http://english.aljazeera.net/
AFG, Afghanistan news by the UK based Guardian. ,Guardian Unlimited,http://www.guardian.co.uk/afghanistan/
AFG, News and Special Report by Eurasianet.org.,Eurasianet: Afghanistan,http://www.eurasianet.org/resource/afghanistan
AFG, Reuters news. ,"Reuters AlertNet -
Afghan turmoil",http://www.alertnet.org/db/crisisprofiles/AF_REC.htm
AFG, Press agencies news on Afghanistan .,"Yahoo! News
Search-Afghanistan",https://uk.news.yahoo.com/afghanistan/?nf=1
ALB, Albanian Independent News Agency.,TIR-FAX,http://tirfaxnews.org/
ALB, 24-ore online.,24-ore,http://www.24-ore.com/
ALB, Albanian daily.,Korrieri,http://www.korrieri.com/
ALB, Online news. ,Rilindja Demokratike,http://www.rilindjademokratike.com/
ALB, Albanian daily.,Shekulli,http://www.shekulli.com.al/
ALB, Weekly news magazine online.,Klan,http://www.revistaklan.com/
ALB, News Agency KosovaPress with Kosovo related news and information. ,Kosovapress,http://www.kosovapress.com/
ALB,,RTSH,https://rtsh.al/
ALB, Private radio station (in Albanian).,Top Albania Radio,http://www.topalbaniaradio.com/
AND, The official Bulletin of Andorra (in Catalan),BOPA / Journal officiel de la Principaut¨¦,http://www.bopa.ad/
AND, Catalan news paper (in Spanish and Catalan),El Periodico,http://www.elperiodico.com/
AGO,,AngolaPress,http://www.angop.ao/
AGO, National and international news.,Agora,http://agora.co.ao/
AGO, Angola's only daily newspaper is staterun (in Portuguese) ,Jornal de Angola,http://www.jornaldeangola.com/
AGO, WorldNews Network (WN) powered Angolan news.,Angola News,http://www.angolanews.com/
AGO,,Televisao Popular de Angola,http://tpa.sapo.ao/
AIA, Anguilla's (Official) Channel for greater Communications. ,Public Relation,http://www.gov.ai/news.php
AIA, Anguilla gossip and news online. ,Anguilla Lokal News,http://www.news.ai/
AIA, Anguilla's weekly news online.,The Anguillian,http://theanguillian.com/
AIA," ""The Voice of Choice"", with local news.",Radio Anguilla,http://www.radioaxa.com/
ATG, Newspaper,Antigua Observer,http://antiguaobserver.com/
ATG,,"Antigua
and Barbuda News",http://www.antigua-barbuda.com/general-information-news-archive/
ATG,,Caribarena,http://www.caribantigua.com/antigua/
ARM," ARKA News Agency provides financial, economic and political information.",ARKA News Agency,http://www.arka.am/
ARM, Armenian News Agency.,Armenpress,https://www.armenpress.am/
ARM, News from AZG an Armenian daily. ,AZG,http://www.azg.am/
ARM,,Public TV Company of Armenia,http://www.1tv.am/en/
ARM, Private nationwide TV station.,Armenia TV ,http://www.armeniatv.am/
ABW, Daily news from Curacao (Dutch and English),Amigoe.com,http://www.amigoe.com/
ABW, Aruba news in PDF format. ,Aruba Today,http://www.arubatoday.com/
ABW,,Diario Aruba,http://www.diario.aw/
ABW,,Bon Dia,http://www.bondia24.com/
AUT, Austrian related news and information.,"Austrian Press & Information
Service",http://www.austria.org/
AUT, The Austrian Press Agency (in German).,APA - Austria Presse Agentur,https://www.apa.at/
AUT, News from Austria (in German).,Kurier Online,https://www.kurier.at/
AUT, National and international news (in German).,Die Presse,http://www.diepresse.at/
AUT, National and international news (in German).,Salzburger Nachrichten,http://www.salzburg.com/sn/
AUT, National and international news (in German).,Der Standard,https://derstandard.at/
AUT," National and international news from Vienna with ""Amtsblatt"", the Official newspaper of the Austrian Government (in German). ",Wiener Zeitung,http://www.wienerzeitung.at/
AZE,,News,news.html
AZE,"<img alt=""official website"" height=""8"" src=""/buttons/p1_out.gif"" width=""8""/>",World Press Freedom Index,https://rsf.org/en/ranking
AZE,,BBC,http://news.bbc.co.uk/1/hi/world/europe/country_profiles/1235976.stm
AZE," State information agency, official news from Azerbaijanian government.",Azertac,http://www.azertag.com/
AZE, State-owned Azerbaijan news (in Azeri).,Azerbaijan,http://www.azerbaijan-news.az/
AZE, English language news from Azerbaijan.,News.Az ,http://news.az/
AZE, Azerbaijan news (in Azeri).,525-ci Qzet,http://525.az/
BRB, Barbados daily.,Barbados Advocate,http://www.barbadosadvocate.com/
BRB, Daily news.,The Nation Newspaper,http://www.nationnews.com/
BRB, Barbados news.,Barbados Today,http://www.barbadostoday.bb/
BRB,,Caribbean News Agency (Cana),http://cananewsonline.com/
BRB,,Voice of Barbados Radio,http://www.vob929.com/
BEL,,News,news.html
BEL, Daily news. ,De Standaard,http://www.standaard.be/
BEL, Daily news. ,De Morgen ,http://www.demorgen.be/
BEL, Daily newspaper.,Gazet van Antwerpen,http://www.gva.be
BEL, Belgium daily. ,Het Laatste Nieuws,http://www.hln.be/
BEL, Belgium daily.,Het Nieuwsblad,http://www.hetnieuwsblad.be/
BEL, Belgium and international news.,La Libre Belgique,http://www.lalibre.be/
BEL, National and international news.,Le Soir,http://www.lesoir.be/
BEL,,Grenzecho,http://www.grenzecho.net/
BLZ,,News,news.html
BLZ," Belize's weekly newspaper, voice of the new government.",Belize Times,http://www.belizetimes.bz/
BLZ, Channel5 with Belize news.,Channel5Belize.com,http://www.channel5belize.com/
BLZ, News from Belize.,The Guardian,http://www.guardian.bz/
BLZ, News and music power from Belize.,LoveFM,http://www.lovefm.com/
BLZ, Local News. ,The Reporter,http://www.reporter.bz/
BEN, A private daily newspaper.,Fraternite,http://www.fraternitebj.info/
BEN, Recent news from Benin.,La Montagne,http://www.lamontagne.fr/accueil.html
BEN, National and Africa related news.,L'¨¦v¨¦nement Pr¨¦cis,http://levenementprecis.com/
BEN, Quotidien Le Matinal is a private daily newspaper.,Le Matinal,http://quotidien-lematinal.info/
BEN, Benin government daily with official news and information.,La Nation,http://www.lanationbenin.info/
BEN,,BeninInfo,http://www.benininfo.com/
BEN,,Broadcasting and Television of Benin,http://www.ortb.bj/
BTN," Bhutan's first private online newsmagazine featuring web-based news, views, opinions and articles on Bhutan.",Bhutannewsonline,http://www.bhutannewsservice.com/
BTN, Bhutan's autonomous daily and only regular newspaper. ,Kuensel,http://www.kuenselonline.com/
BTN, National Radio & TV provides online news on Bhutan. ,Bhutan Broadcasting Service Corporation,http://www.bbs.bt/news/
BIH, News magazine (in Serbo-Croatian).,Dani,http://www.bhdani.com/
BIH, Federal News Agency of Bosnia and Herzegovina.,"Federalna Novinska Agencija
- FENA",http://www.fena.ba/
BIH," Bosnian Serb government daily, Banja Luka.",Glas Srpske,http://www.glassrpske.com/
BIH, Banja Luka daily with BiH News (in Serbo-Croatian). ,Nezavisne Novine,http://www.nezavisne.com/
BIH, A Sarajevo daily.,Oslobodjenje,http://www.oslobodjenje.ba/
BIH," State-wide public broadcaster, operates BHRT.",Radio and TV of Bosnia and Herzegovina,http://www.bhrt.ba/
BIH,,Radio Television of the Republic of Serbian,http://www.rtrs.tv/
BIH, Sarajevo based commercial TV station.,OBN,http://www.obn.ba/
BWA, Official Botswana news.,Daily News,http://www.dailynews.gov.bw/
BWA,,Botswana Gazette,http://www.thegazette.news/
BWA,,Mmegi,http://www.mmegi.bw/
BWA, Current news from Botswana. ,allAfrica.com: Botswana,http://allafrica.com/botswana/
BRN, Local and Borneo News.,Borneo Bulletin,http://borneobulletin.com.bn/
BRN, Brunei local and business news site.,BruDirect,http://www.brudirect.com/
BRN, News outlet of Radio Televisyen Brunei (RTB),RTB News,http://www.rtbnews.rtb.gov.bn/
BRN,,Media Permata,http://mediapermata.com.bn/
BRN, Weekly official newspaper of the Government of Brunei Darussalam.,"Pelita
Brunei",http://www.pelitabrunei.gov.bn/
BRN,,The Brunei Times,http://www.bt.com.bn/
BRN,,Radio Televisyen Brunei,http://www.rtb.gov.bn/
BGR, Bulgarian news (in Bulgarian).,24 Chasa,http://www.24chasa.bg/
BGR,,Bulgarian News Agency,http://www.bta.bg/
BGR, Online news agency.,BNN - Bulgarian News Network,http://www.bgnewsnet.com/
BGR,,Capital,http://www.capital.bg/
BGR,,Dnevnik,http://www.dnevnik.bg/
BGR,,Focus News Agency,http://www.focus-fen.net/
BGR, Tabloid style national and international news (in Bulgarian).,News.bg,http://news.bg/
BGR,,novinite.com,http://www.novinite.com/
BGR, Monthly Bulgarian and Southern Europe Business News (in German).,Wirtschaftsblatt,http://www.wirtschaftsblatt-bg.com/
BFA,,News,news.html
BFA, Burkina press agency (in French),Agence d'Information du Burkina,http://www.aib.bf/
BFA, Burkina news (in French),Burkina24,http://burkina24.com/
BFA, Press review (in French).,Le faso.net,http://www.lefaso.net/
BFA,,L'Observateur Paalga,http://www.lobservateur.bf/
BFA, Burkina Faso daily news (in French).,Le Pays,http://www.lepays.bf/
BFA, Daily news from Burkina Faso (in French).,Sidwaya Quotidien,http://www.sidwaya.bf/
BFA,,RTB :: Radiodiffusion T¨¦l¨¦vision du Burkina,http://www.rtb.bf/
BFA, An article by Claus Stcker: head of Deutsche Welle's Africa department. ,Signal from the 'land of upright people' ,http://www.dw.de/opinion-signal-from-the-land-of-upright-people/a-18031173
BDI, Agence Burundaise de Presse; privately owned Burundi Press Agency (in French).,Net Press,http://www.netpress.bi/
BDI," Les voix de Burundi (The Voices of Burundi), Burundi news in French and English.",Iwacu,http://www.iwacu-burundi.org/
BDI," Kind of outdated Analysis, Research, Information and Data on Burundi (French and English)",Burundi Realities,http://www.burundirealite.org/
BDI, Central news (in French).,Africatime Burundi,http://www.africatime.com/burundi/
BDI,,"afrol News -
Burundi",http://www.afrol.com/countries/burundi
BDI, Burundi News and background information.,"IRIN
Africa: Burundi",https://www.irinnews.org/africa/east-africa/burundi
KHM," Local News in Khmer, English and French.",Agence Kampuchea Presse,http://www.akp.gov.kh/?cat=1
KHM, Official news published by the Cabinet of Prime Minister Samdech Hun Sen.,Cambodia New Vision,http://www.cnv.org.kh/
KHM, Cambodian portal with local news.,Khmer Kampong Speu,http://www.khmertimeskh.com/
KHM, Cambodia's daily English-language newspaper.,Phnom Penh Post,http://www.phnompenhpost.com/
KHM,,CTN,http://www.ctn.com.kh/
KHM, Online TV from Cambodia.,KhmerTV,http://khmertv.com/
KHM, Cambodian Television and radio channels.,MekongTV,http://mekongtv.net/
KHM, With links to Cambodia related news and background information.,BBC News Country Profile: Cambodia,http://news.bbc.co.uk/1/hi/world/asia-pacific/country_profiles/1243892.stm
KHM, Reuters news.,"Reuters AlertNet -
Cambodia recovery",http://www.alertnet.org/db/crisisprofiles/KH_REC.htm
KHM, Amnesty International Reports.,Amnesty International: Cambodia,https://www.amnesty.org/en/countries/asia-and-the-pacific/cambodia/
KHM, Background Briefings. ,Human Rights Watch: Cambodia,https://hrw.org/doc/?t=asia&c=cambod
KHM, Annual report 2017 about Press freedom in the country. ,Reporters sans fronti¨¨res - Cambodia,https://rsf.org/en/cambodia
CMR, Local and international news. ,Cameroon-Info.Net,http://www.cameroon-info.net/
CMR,,Camerounlink,http://www.camerounlink.net/
CMR, State-owned daily. ,Cameroon Tribune,http://www.cameroon-tribune.cm/
CMR,,La Nouvelle Expression,http://www.lanouvelleexpression.info/
CMR," Daily, published in Douala.",Le Messager,http://quotidienlemessager.net/
CMR,,The Post,http://www.postnewsline.com/
CMR, State run station.,Cameroon Radio Television (CRTV),http://www.crtv.cm/
CPV,,News,news.html
CPV, CV news.,A Semana,http://www.asemana.publ.cv/
CPV, Island news (in Portuguese),Expresso das Ilhas,http://www.expressodasilhas.sapo.cv/
CPV," News from Cape Verde, Angola, Guinea-Bissau, Mozambique, Sao Tome and Pr¨ªncipe (in Portuguese)",VisaoNews.com,http://www.visaonews.com/
CPV,,Radioteleviso Caboverdiana,http://www.rtc.cv/
CAF,,Agence Centrafrique Presse,http://www.acap.cf/
CAF, Central African Republic Radio station broadcasting in French and Sango.,Radio Ndeke Luka,http://www.radiondekeluka.org/
CAF,,"allAfrica.com:
Central African Republic",http://allafrica.com/centralafricanrepublic/
CAF,,IRIN,https://www.irinnews.org/africa/east-africa/central-african-republic
TCD, Portal site with Cad news and country information.,Ialtchad Presse,http://www.ialtchad.com/
TCD,,Tchadien,http://www.tchadien.com/
TCD, Chad related news.,"AfricaTime:
Tchad",http://en.africatime.com/tchad/pays-une
TCD, Chad related UN news in English and ,"IRIN
News Chad",https://www.irinnews.org/afrique/afrique-de-louest/chad
TCD,,French,http://www.irinnews.org/Frenchfp.asp?SelectRegion=Afrique_de_l_ouest&SelectCountry=Tchad
CHN, China portal with news from China and Hongkong.,China.com,http://english.china.com/
CHN, China and world news.,China Daily,http://www.chinadaily.com.cn
CHN, The Official China Information Center.,"China Internet Information
Center",http://www.china.org.cn/
CHN," The official newspaper of the Central Committee of the Communist Party of China (CCCPC), People's Daily is the most authoritative newspaper in China.",People's Daily,http://english.peopledaily.com.cn/
CHN, Premier English-language newspaper in Shanghai.,Shanghai Daily,http://www.shanghaidaily.com/
CHN, China News. (in Chinese),Sing Tao Daily,http://www.singtao.com/
CHN," SCMP.com - the online edition of South China Morning Post, a Hong Kong English-language newspaper.",South China Morning Post,http://www.scmp.com/
CHN, Greater China's Business Newspaper.,The Standard,http://www.thestandard.com.hk/
CHN, The Chinese News Agency.,Xinhua,http://www.xinhua.org/
CHN," Now renamed to China Network Television (China Network Television), CCTV is the one of the most important TV stations in China.",China Central Television,http://www.cntv.cn/
CHN, CRI Online provides News and Information from and about China. ,China Radio International,http://gb.cri.cn/
CHN, ,BBC News China,https://www.bbc.com/news/world/asia/china
COL, Colombia News.,El Colombiano,http://www.elcolombiano.com/
COL, National and international news.,El Diario On-Line,http://www.eldiario.com.co
COL, The oldest newspaper in Colombia. ,El Espectador,http://www.elespectador.com/
COL, Colombia News,El Mundo,http://www.elmundo.com/
COL, Domestic and international news. ,El Tiempo,http://www.eltiempo.com/
COL," Noticias econ¨®micas, business news Colombia.",Portafolio,http://www.portafolio.com.co/
COM, Comoros online weekly news (in French),Al Watwan,http://www.comores-online.com/al-watwan/
COM, Comoros related news (in French),"Comores
Info",http://www.comores-online.com/Comores-infosweb/index.htm
COM, News and information covering the Mozambique Channel region (in French).,Le Canal,http://www.le-canal.com/
COM,,Office de Radio T¨¦l¨¦vion des Comores,http://www.radiocomores.km/
COM,,Radio Ocean Indien,http://www.radioceanindien.fr/
COD, Recent news from the DR Congo (in French).,Congo Vision,http://www.congovision.com/
COD,,Groupe de Presse L'Avenir,http://groupelavenir.org/
COD,,Le Potentiel,https://www.lepotentielonline.com/
COD, Online version of the newspaper (in French),Le Soft International,http://www.lesoftonline.net/
COD,,"
Digitalcongo.net",http://www.digitalcongo.net/
COD, SIte of the radio station with current news (in French),Radio Okapi,http://www.radiookapi.net/
COD, Africa news by BBC. ,BBC News Africa,http://news.bbc.co.uk/2/hi/africa/
COD,,CongoDaily,http://www.congodaily.com/
COD, Great Lakes region and DRC recent news by the UN press agency. ,"IRIN
News Africa",https://www.irinnews.org/africa
COD,,"Reuters AlertNet
- Democratic Republic of the Congo",http://news.trust.org/search/?q=Congo+DRC&sbd=1
COD, Washington Post article about the effects on the country by the dead of longtime Congolese opposition leader tienne Tshisekedi.,The Washington Post: Did Congo¡¯s crisis just get a lot worse?,https://www.washingtonpost.com/news/monkey-cage/wp/2017/02/03/why-democracy-in-congo-is-so-hard-to-achieve/?utm_term=.3e071b00a19d
COG,,"Congopage
",http://www.congopage.com/
COG, Congo-Brazzaville news (in French).,"Les D¨¦p¨ºches
de Brazzaville -L'Agence d'Information de l'Afrique Centrale",http://www.lesdepechesdebrazzaville.fr/
COG,,MwindaPress,http://www.mwinda.org/
COG, Kinshasa based radio sttion with recent Congo news (in French).,Radio Okapi,http://www.radiookapi.net/
COG,,"ReliefWeb:
Congo",http://reliefweb.int/country/cog
CRI, Costa Rica Newspaper.,La Naci¨®n Digital,http://www.nacion.co.cr/
CRI, Costa Rica News.,La Prensa Libre,http://www.prensalibre.co.cr/
CRI, National and international news. (Spanish),La Republica,http://www.larepublica.net/
CRI, English-language weekly.,The Tico Times,http://www.ticotimes.net/
CIV,,News,news.html
CIV, With news from Cte d'Ivoire (in French),abidjan.net,http://www.abidjan.net/
CIV, Cte d'Ivoire news (in French) ,Fraternit¨¦ Matin,http://news.abidjan.net/presse/fratmat.htm
CIV, More news from Cte d'Ivoire (in French) ,Le Patriote,http://www.lepatriote.net/
CIV, Ivory Coast news (in French),Soir Info,http://www.soirinfo.com/
CIV, by allAfrica.com,"Cte d'Ivoire
Top News",http://allafrica.com/cotedivoire/
CIV,,"Reuters
AlertNet - Ivory Coast",http://www.alertnet.org/db/cp/ivory_coast.htm
CIV, Article about a textbook case of army mutiny in Ivory Coast.,The Washington Post: Ivory Coast,https://www.washingtonpost.com/news/monkey-cage/wp/2017/01/10/the-events-in-ivory-coast-last-week-were-a-textbook-case-of-mutiny/?utm_term=.65fec5b8924f
HRV, Croatian News Agency covers Croatia related news also in English.,HINA,http://www.hina.hr/
HRV, Croatian daily newspaper published in Zagreb (in Croatian),24sata,http://www.24sata.hr/
HRV, Daily news coverage (in Croatian),Glas Istre,http://www.glasistre.hr/
HRV," Croatian news - daily, Zagreb (in Croatian)",Jutarnji,http://www.jutarnji.hr/
HRV, Weekly magazine with national and international news (in Croatian),Nacional,http://www.nacional.hr/
HRV,,Novi List,http://www.novilist.hr/
HRV, Daily news (in Croatian),Vecernji list,http://www.vecernji-list.hr/
CUB, Cuban based press agency.,"Agencia Informativa Latinoamericana
S.A.",http://www.prensa-latina.cu/
CUB, Cuban News Agency.,Agencia Cubana de Noticias - ACN,http://www.acn.cu/
CUB, General country information and current news.,CubaSi.cu,http://www.cubasi.cu/
CUB, Granma International Edition with news from Cuba.,Granma Diario,http://www.granma.cu/
CUB, National news (not very up-to-date). ,Radio Habana Cuba,http://www.radiohc.cu/
CUB," US-Florida based site with ""Cuba news from independent journalist on the Island"" (in Spanish, French and English). ",CubaNet News,http://www.cubanet.org/
CUB,,Empresa de Telecomunicaciones de Cuba,http://www.etecsa.cu/
CZE," CTK the national ""public law"" news agency.",CTK News,http://www.ctknews.com
CZE, National and international news.,Ceske Noviny,http://www.ceskenoviny.cz/
CZE, The leading Czech daily (in ).,iDNES,http://www.idnes.cz
CZE," Free source of Czech news in English, also delivered by email.",Prague Daily Monitor,http://www.praguemonitor.com
CZE," Issues and events in the Czech Republic, English-language weekly.",The Prague Post,http://www.praguepost.com/
